run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53671- 2_2026-05-08_5158,1,0,Set1,1,38.227,mm
L53671- 2_2026-05-08_5158,1,0,Set1,2,38.1762,mm
L53671- 2_2026-05-08_5158,1,0,Set2,1,38.2016,mm
L53671- 2_2026-05-08_5158,1,0,Set2,2,38.2016,mm
L53671- 2_2026-05-08_5158,2,20,Set1,1,38.0746,mm
L53671- 2_2026-05-08_5158,2,20,Set1,2,38.1,mm
L53671- 2_2026-05-08_5158,2,20,Set2,1,38.0746,mm
L53671- 2_2026-05-08_5158,2,20,Set2,2,38.0746,mm
L53671- 2_2026-05-08_5158,3,40,Set1,1,37.9984,mm
L53671- 2_2026-05-08_5158,3,40,Set1,2,38.0238,mm
L53671- 2_2026-05-08_5158,3,40,Set2,1,37.9984,mm
L53671- 2_2026-05-08_5158,3,40,Set2,2,37.9984,mm
L53671- 2_2026-05-08_5158,4,60,Set1,1,37.9476,mm
L53671- 2_2026-05-08_5158,4,60,Set1,2,37.973,mm
L53671- 2_2026-05-08_5158,4,60,Set2,1,37.9476,mm
L53671- 2_2026-05-08_5158,4,60,Set2,2,37.9476,mm
L53671- 2_2026-05-08_5158,5,80,Set1,1,37.8968,mm
L53671- 2_2026-05-08_5158,5,80,Set1,2,37.8714,mm
L53671- 2_2026-05-08_5158,5,80,Set2,1,37.8968,mm
L53671- 2_2026-05-08_5158,5,80,Set2,2,37.8968,mm
L53671- 2_2026-05-08_5158,6,100,Set1,1,37.846,mm
L53671- 2_2026-05-08_5158,6,100,Set1,2,37.846,mm
L53671- 2_2026-05-08_5158,6,100,Set2,1,37.846,mm
L53671- 2_2026-05-08_5158,6,100,Set2,2,37.8714,mm
L53671- 2_2026-05-08_5158,7,120,Set1,1,37.8206,mm
L53671- 2_2026-05-08_5158,7,120,Set1,2,37.8206,mm
L53671- 2_2026-05-08_5158,7,120,Set2,1,37.8206,mm
L53671- 2_2026-05-08_5158,7,120,Set2,2,37.8206,mm
L53671- 2_2026-05-08_5158,8,140,Set1,1,37.7952,mm
L53671- 2_2026-05-08_5158,8,140,Set1,2,37.7952,mm
L53671- 2_2026-05-08_5158,8,140,Set2,1,37.8206,mm
L53671- 2_2026-05-08_5158,8,140,Set2,2,37.7952,mm
